"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"	"indirect_effects"
"66"	"control"	"Hp_Hl_Sp"	3	2020	0.0255690486083818	6.91010641725819	0	0.021	0.001	0.333333333333333	-0.333333333333333
"67"	"control"	"Hp_Hl_Pg"	3	2020	0.0199530351039068	17.2204799529391	0	0.019	0	0	0
"68"	"control"	"Hp_Hl_Ra"	3	2020	0.2526753760734	22.6327529527853	0	0.028	0.003	0	0
"69"	"control"	"Hp_Hl_Pm"	3	2020	0.0204799682408399	16.4515212077208	0	-0.012	0.014	0.333333333333333	-0.333333333333333
"70"	"control"	"Hp_Hl_Ga"	3	2020	0.0562470951844739	16.9591289893857	0	0.023	0.007	0.333333333333333	-0.333333333333333
"71"	"control"	"Hp_Lp_Pt"	3	2020	0.0237308228535865	18.9970273401939	0	-0.007	0.003	0.333333333333333	-0.333333333333333
"72"	"control"	"Hp_Lp_Am"	3	2020	0.0322042478542503	10.0864753175042	0	0.02	0.006	0.333333333333333	-0.333333333333333
"73"	"control"	"Hp_Lp_Cj"	3	2020	0.00908463323543948	9.17721769804779	0	0.007	0	0.666666666666667	-0.666666666666667
"74"	"control"	"Hp_Lp_Cb"	3	2020	0.0357819591266725	35.5498987104592	0	-0.001	0	0	0
"75"	"control"	"Hp_Lp_To"	3	2020	0.0414406975286219	17.5658159191328	0	0.045	0.004	0.666666666666667	-0.666666666666667
"76"	"control"	"Hp_Lp_Dc"	3	2020	0.240518235494233	11.6565741590944	0	0.133	0.003	0.666666666666667	-0.666666666666667
"77"	"control"	"Hp_Lp_Sp"	3	2020	0.00215252537639829	15.5873205490113	0	-0.003	0	0	0
"78"	"control"	"Hp_Lp_Pg"	3	2020	0.0142278696211643	17.5482630437128	0	0.014	0	0	0
"79"	"control"	"Hp_Lp_Ra"	3	2020	0.273428702378939	28.7353418893235	0	0.081	0	0	0
"80"	"control"	"Hp_Lp_Pm"	3	2020	0.0149373210811116	7.61011722162568	0	-0.002	0.004	0.666666666666667	-0.666666666666667
"81"	"control"	"Hp_Lp_Ga"	3	2020	0.00886278898414068	14.3262667516356	0	-0.022	0	0.333333333333333	-0.333333333333333
"82"	"control"	"Hp_Pt_Am"	3	2020	0.0558719111431319	26.211792015302	0	0.029	0.018	0	0
"83"	"control"	"Hp_Pt_Cj"	3	2020	0.118716343938724	12.5267038457582	0	0.042	0.074	0.666666666666667	-0.666666666666667
"84"	"control"	"Hp_Pt_Cb"	3	2020	0.25782770395349	39.2681182430859	0	-0.004	0	0	0
"85"	"control"	"Hp_Pt_To"	3	2020	0.0850946166151477	18.8248125197945	0	-0.026	0.077	0.666666666666667	-0.666666666666667
"86"	"control"	"Hp_Pt_Dc"	3	2020	0.227254625707436	6.69467243899554	1	0.058	0.102	0.666666666666667	0.333333333333333
"87"	"control"	"Hp_Pt_Sp"	3	2020	0.0664629170714481	12.7637625914286	0	0.016	0	0.333333333333333	-0.333333333333333
"88"	"control"	"Hp_Pt_Pg"	3	2020	0.14539070945085	15.4911044554766	0	0.093	0.038	0.333333333333333	-0.333333333333333
"89"	"control"	"Hp_Pt_Ra"	3	2020	1.0643703641084	15.2861831568309	1	0.484	0	0	1
"90"	"control"	"Hp_Pt_Pm"	3	2020	0.0828830645324365	10.5593942605378	0	0.013	0.029	0.666666666666667	-0.666666666666667
"91"	"control"	"Hp_Pt_Ga"	3	2020	0.0670518848068335	7.82900619114807	0	-0.087	0.021	0.666666666666667	-0.666666666666667
"92"	"control"	"Hp_Am_Cj"	3	2020	0.0523252063623155	16.743189915882	0	0.02	0.028	0.666666666666667	-0.666666666666667
"93"	"control"	"Hp_Am_Cb"	3	2020	0.0647924814185717	33.6551838465642	0	0.022	0	0	0
"94"	"control"	"Hp_Am_To"	3	2020	0.0530503188719424	18.6514038739803	0	-0.035	0.047	0.666666666666667	-0.666666666666667
"95"	"control"	"Hp_Am_Dc"	3	2020	0.10084595693064	11.1824415492844	0	0.025	0.056	0.666666666666667	-0.666666666666667
"96"	"control"	"Hp_Am_Sp"	3	2020	0.00627891865106165	21.4279508165772	0	0	0.001	0	0
"97"	"control"	"Hp_Am_Pg"	3	2020	0.0252156375871194	21.4383358802128	0	0.018	0	0	0
"98"	"control"	"Hp_Am_Ra"	3	2020	0.164648107358404	37.7366044540879	0	0.02	0.026	0	0
"99"	"control"	"Hp_Am_Pm"	3	2020	0.0185447020999638	16.7549362456235	0	0.004	0.018	0.333333333333333	-0.333333333333333
"100"	"control"	"Hp_Am_Ga"	3	2020	0.131832816281065	15.4395787652209	0	0.093	0.004	0.333333333333333	-0.333333333333333
"101"	"control"	"Hp_Cj_Cb"	3	2020	0.051198424126075	37.3444985782626	0	-0.017	0	0.333333333333333	-0.333333333333333
"102"	"control"	"Hp_Cj_To"	3	2020	0.0185627067594317	7.00323323071989	0	0.01	0	0.666666666666667	-0.666666666666667
"103"	"control"	"Hp_Cj_Dc"	3	2020	0.137204835918502	5.45255290779158	1	-0.045	0.119	1	0
"104"	"control"	"Hp_Cj_Sp"	3	2020	0.0166894145302089	3.18801916676672	0	0.01	0.005	0.333333333333333	-0.333333333333333
"105"	"control"	"Hp_Cj_Pg"	3	2020	0.0249325547741985	18.9178357509657	0	-0.023	0.016	0.333333333333333	-0.333333333333333
"106"	"control"	"Hp_Cj_Ra"	3	2020	0.360674198638812	35.0064898026338	0	0.08	0.036	0.333333333333333	-0.333333333333333
"107"	"control"	"Hp_Cj_Pm"	3	2020	0.00284657710319986	4.3986166818413	0	0.001	0	0.666666666666667	-0.666666666666667
"108"	"control"	"Hp_Cj_Ga"	3	2020	0.112383914451938	8.40147393606132	1	0.00800000000000001	0.045	0.666666666666667	0.333333333333333
"109"	"control"	"Hp_Cb_To"	3	2020	0.263218331722973	20.5791598203977	1	0.143	0	0.666666666666667	0.333333333333333
"110"	"control"	"Hp_Cb_Dc"	3	2020	0.396792240746018	47.2612352194774	0	-0.033	0.01	0.666666666666667	-0.666666666666667
"111"	"control"	"Hp_Cb_Sp"	3	2020	0.0313650673090733	49.6452814103446	0	-0.009	0.003	0	0
"112"	"control"	"Hp_Cb_Pg"	3	2020	5.01032312038827e-09	37.9183787666326	0	-0.001	0	0.333333333333333	-0.333333333333333
"113"	"control"	"Hp_Cb_Ra"	3	2020	0.392121978635863	77.3046519076019	0	0	0	0	0
"114"	"control"	"Hp_Cb_Pm"	3	2020	0.212695060675851	27.0003948689605	0	0.086	0	0.333333333333333	-0.333333333333333
