"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"	"indirect_effects"
"420"	"control"	"Dg_Cj_Sp"	3	2020	0.0183895851661421	9.82269829456761	0	0.019	0	0.333333333333333	-0.333333333333333
"421"	"control"	"Dg_Cj_Pg"	3	2020	0.0263235749151166	23.7015554725351	0	0.021	0	0	0
"422"	"control"	"Dg_Cj_Ra"	3	2020	0.0168430518772586	33.0714234103447	0	0.001	0	0	0
"423"	"control"	"Dg_Cj_Pm"	3	2020	0.00133130365288392	15.2491578765497	0	0	0	0	0
"424"	"control"	"Dg_Cj_Ga"	3	2020	0.00115744572906347	28.2786939687658	0	0.002	0	0	0
"425"	"control"	"Dg_Cb_To"	3	2020	0.121539043428189	19.9378529440505	0	0.046	0.019	0.666666666666667	-0.666666666666667
"426"	"control"	"Dg_Cb_Dc"	3	2020	0.472925330738028	15.0775190010132	1	0.247	0.028	0.333333333333333	0.666666666666667
"427"	"control"	"Dg_Cb_Sp"	3	2020	0.090722822526579	22.3565175144555	0	0.083	0	0.333333333333333	-0.333333333333333
"428"	"control"	"Dg_Cb_Pg"	3	2020	0.00144561552694368	16.2131305141389	0	-0.006	0.003	0.333333333333333	-0.333333333333333
"429"	"control"	"Dg_Cb_Ra"	3	2020	0.439479293687206	54.6344360981822	0	0.048	0	0	0
"430"	"control"	"Dg_Cb_Pm"	3	2020	0.000504595599095637	16.0433551302178	0	-0.001	0	0	0
"431"	"control"	"Dg_Cb_Ga"	3	2020	0.387488945445423	25.4674682105057	1	0.269	0	0	1
"432"	"control"	"Dg_To_Dc"	3	2020	0.163553145448754	10.1051109975114	1	-0.025	0.125	0.666666666666667	0.333333333333333
"433"	"control"	"Dg_To_Sp"	3	2020	0.164132898842428	12.1179727619051	1	0.134	0.007	0.666666666666667	0.333333333333333
"434"	"control"	"Dg_To_Pg"	3	2020	0.0300177927683121	19.7833784052178	0	0.025	0	0.333333333333333	-0.333333333333333
"435"	"control"	"Dg_To_Ra"	3	2020	0.651089833966997	38.9573703424298	0	0.146	0	0.333333333333333	-0.333333333333333
"436"	"control"	"Dg_To_Pm"	3	2020	0.0112733130398224	16.415863506747	0	0.001	0.001	0.666666666666667	-0.666666666666667
"437"	"control"	"Dg_To_Ga"	3	2020	0.039790446757947	29.4106929925053	0	0.025	0	0.333333333333333	-0.333333333333333
"438"	"control"	"Dg_Dc_Sp"	3	2020	0.124831699548327	14.7066913984901	0	0.048	0.046	0.333333333333333	-0.333333333333333
"439"	"control"	"Dg_Dc_Pg"	3	2020	0.419704154485713	10.6070398903792	1	0.289	0	0.333333333333333	0.666666666666667
"440"	"control"	"Dg_Dc_Ra"	3	2020	0.330790184525032	33.6858900108764	0	0.098	0.035	0	0
"441"	"control"	"Dg_Dc_Pm"	3	2020	0.000726512794111311	20.7629252875627	0	-0.004	0	0.333333333333333	-0.333333333333333
"442"	"control"	"Dg_Dc_Ga"	3	2020	0.0219513939963146	36.1307897456772	0	0	0	0	0
"443"	"control"	"Dg_Sp_Pg"	3	2020	0.0454642448929541	18.7977583978252	0	0.047	0.001	0.333333333333333	-0.333333333333333
"444"	"control"	"Dg_Sp_Ra"	3	2020	0.115727772651351	41.8751311210794	0	-0.006	0.009	0.333333333333333	-0.333333333333333
"445"	"control"	"Dg_Sp_Pm"	3	2020	0.0281858783544784	13.9878222520209	0	0.031	0	0.333333333333333	-0.333333333333333
"446"	"control"	"Dg_Sp_Ga"	3	2020	0.116748249710945	32.6804271435704	0	0.082	0	0.333333333333333	-0.333333333333333
"447"	"control"	"Dg_Pg_Ra"	3	2020	0.26209888658108	22.2440315868671	1	0.189	0	0	1
"448"	"control"	"Dg_Pg_Pm"	3	2020	0.0180963906826328	22.8979151390613	0	0.016	0	0	0
"449"	"control"	"Dg_Pg_Ga"	3	2020	0.408466457699219	20.5822436795106	1	0.317	0	0	1
"450"	"control"	"Dg_Ra_Pm"	3	2020	0.0180609133093862	27.98361213635	0	-0.001	0	0	0
"451"	"control"	"Dg_Ra_Ga"	3	2020	0.279535979461297	16.8321992496916	0	0.251	0	0.333333333333333	-0.333333333333333
"452"	"control"	"Dg_Pm_Ga"	3	2020	0.0881427390433301	23.759864612006	0	0.07	0	0	0
"453"	"control"	"Fr_Hl_Lp"	3	2020	0.144986734466224	4.19157993997811	1	0.055	0.056	0.666666666666667	0.333333333333333
"454"	"control"	"Fr_Hl_Pt"	3	2020	0.992335268286016	7.55686123898476	1	0.0559999999999999	0.653	1	0
"455"	"control"	"Fr_Hl_Am"	3	2020	0.0760596586478364	8.29562514299515	0	-0.015	0.018	1	-1
"456"	"control"	"Fr_Hl_Cj"	3	2020	0.00478383305648081	10.6457108790094	0	-0.001	0	0.333333333333333	-0.333333333333333
"457"	"control"	"Fr_Hl_Cb"	3	2020	0.0936326238161374	24.2797159378495	0	-0.032	0.003	0.333333333333333	-0.333333333333333
"458"	"control"	"Fr_Hl_To"	3	2020	0.236816255272075	6.55169503038834	1	-0.015	0.16	1	0
"459"	"control"	"Fr_Hl_Dc"	3	2020	0.902140449233774	12.8764451725645	1	0.083	0.782	1	0
"460"	"control"	"Fr_Hl_Sp"	3	2020	0.201279784518608	17.4562331690743	1	0.127	0.064	1	0
"461"	"control"	"Fr_Hl_Pg"	3	2020	0.132195497409166	6.69763866732408	1	0.141	0.001	0.333333333333333	0.666666666666667
"462"	"control"	"Fr_Hl_Ra"	3	2020	1.28730448849268	45.2708169844783	1	0.47	0.099	0.666666666666667	0.333333333333333
"463"	"control"	"Fr_Hl_Pm"	3	2020	0.201273495625217	8.26339041675852	1	-0.016	0.109	0.666666666666667	0.333333333333333
"464"	"control"	"Fr_Hl_Ga"	3	2020	0.0901889355142508	12.558338353258	0	-0.00699999999999999	0.01	0.666666666666667	-0.666666666666667
"465"	"control"	"Fr_Lp_Pt"	3	2020	0.738311627300234	12.8425211025381	1	0.339	0.213	1	0
"466"	"control"	"Fr_Lp_Am"	3	2020	0.165333686539688	4.26162981392094	1	-0.032	0.154	1	0
"467"	"control"	"Fr_Lp_Cj"	3	2020	0.00649576563513291	15.6768315655986	0	0.002	0.001	0.666666666666667	-0.666666666666667
"468"	"control"	"Fr_Lp_Cb"	3	2020	0.114596805025606	34.6319665537091	0	-0.041	0.016	0.333333333333333	-0.333333333333333
"469"	"control"	"Fr_Lp_To"	3	2020	0.0288367558673489	9.5859115434982	0	-0.008	0.007	1	-1
"470"	"control"	"Fr_Lp_Dc"	3	2020	0.943306326105622	11.538813684963	1	0.176	0.339	1	0
"471"	"control"	"Fr_Lp_Sp"	3	2020	0.077013479363894	5.02196300146449	1	0.042	0.01	0.666666666666667	0.333333333333333
"472"	"control"	"Fr_Lp_Pg"	3	2020	0.0524642346421504	6.36851948569658	1	0.053	0.002	0.333333333333333	0.666666666666667
"473"	"control"	"Fr_Lp_Ra"	3	2020	1.14469743835589	21.9005252153562	1	0.458	0.019	0.666666666666667	0.333333333333333
"474"	"control"	"Fr_Lp_Pm"	3	2020	0.16834679068636	5.78453721399543	1	0.00800000000000001	0.144	1	0
"475"	"control"	"Fr_Lp_Ga"	3	2020	0.100159338540741	18.4185003303408	0	-0.058	0.039	0.666666666666667	-0.666666666666667
"476"	"control"	"Fr_Pt_Am"	3	2020	0.0374301246665532	31.6591913649811	0	-0.099	0.006	0.666666666666667	-0.666666666666667
"477"	"control"	"Fr_Pt_Cj"	3	2020	0.120857740362149	24.7363841177243	0	0.083	0	0.666666666666667	-0.666666666666667
"478"	"control"	"Fr_Pt_Cb"	3	2020	0.697694642397136	37.2705871386652	0	-0.035	0.101	0.333333333333333	-0.333333333333333
"479"	"control"	"Fr_Pt_To"	3	2020	0.106268879627389	10.201265896279	0	-0.093	0.019	1	-1
"480"	"control"	"Fr_Pt_Dc"	3	2020	1.81520135612939	24.058976903642	1	0	1	1	0
"481"	"control"	"Fr_Pt_Sp"	3	2020	0.437011648879599	18.7278325571818	1	0.094	0.263	1	0
"482"	"control"	"Fr_Pt_Pg"	3	2020	0.298508331522359	26.9054574506717	1	0.095	0.087	0.666666666666667	0.333333333333333
"483"	"control"	"Fr_Pt_Ra"	3	2020	0.266086985664108	56.0774535798912	0	-0.114	0	0.666666666666667	-0.666666666666667
"484"	"control"	"Fr_Pt_Pm"	3	2020	0.387755218356428	9.71284719557604	1	-0.08	0.188	1	0
"485"	"control"	"Fr_Pt_Ga"	3	2020	0.511108579178403	24.1545306946174	0	0.054	0.085	1	-1
"486"	"control"	"Fr_Am_Cj"	3	2020	0.00989096908578274	9.30776601085865	0	0.01	0	0.666666666666667	-0.666666666666667
"487"	"control"	"Fr_Am_Cb"	3	2020	0.0116017368628791	28.8287048447698	0	0.001	0	0.333333333333333	-0.333333333333333
"488"	"control"	"Fr_Am_To"	3	2020	0.094642026924825	7.14591213336087	1	-0.048	0.091	1	0
"489"	"control"	"Fr_Am_Dc"	3	2020	0.241782981881726	9.70314419928511	1	-0.072	0.172	1	0
"490"	"control"	"Fr_Am_Sp"	3	2020	0.0330478419000592	5.29951553645392	1	0.028	0.005	0.666666666666667	0.333333333333333
"491"	"control"	"Fr_Am_Pg"	3	2020	0.0294368693807653	6.58544242654946	0	0.024	0.001	0.333333333333333	-0.333333333333333
"492"	"control"	"Fr_Am_Ra"	3	2020	0.36983389323043	23.0902621769327	1	0.167	0.049	0.666666666666667	0.333333333333333
"493"	"control"	"Fr_Am_Pm"	3	2020	0.0454615822621455	12.0075820674626	0	-0.014	0.036	0.666666666666667	-0.666666666666667
"494"	"control"	"Fr_Am_Ga"	3	2020	0.0853305172213096	14.6207067975704	1	0.023	0.023	0.666666666666667	0.333333333333333
"495"	"control"	"Fr_Cj_Cb"	3	2020	0.00760244768768065	30.7660705420013	0	0.002	0	0	0
"496"	"control"	"Fr_Cj_To"	3	2020	0.0114642660272368	15.5842312299546	0	0.011	0	0.333333333333333	-0.333333333333333
"497"	"control"	"Fr_Cj_Dc"	3	2020	0.0163047422529978	19.5367080034874	0	0.022	0	0.666666666666667	-0.666666666666667
"498"	"control"	"Fr_Cj_Sp"	3	2020	0.00101587839308168	8.19285176539391	0	0.002	0	0.333333333333333	-0.333333333333333
"499"	"control"	"Fr_Cj_Pg"	3	2020	0.00666029155032805	18.3333671744243	0	0.001	0	0	0
"500"	"control"	"Fr_Cj_Ra"	3	2020	0.103476368358842	29.6337538695969	0	0.041	0	0.333333333333333	-0.333333333333333
"501"	"control"	"Fr_Cj_Pm"	3	2020	0.0166437819376303	17.2258362089461	0	0.026	0	0.333333333333333	-0.333333333333333
"502"	"control"	"Fr_Cj_Ga"	3	2020	0.01762226929916	22.5397335021948	0	0.017	0	0.333333333333333	-0.333333333333333
"503"	"control"	"Fr_Cb_To"	3	2020	0.0588088386095207	15.5491757446617	0	0.015	0	0.666666666666667	-0.666666666666667
"504"	"control"	"Fr_Cb_Dc"	3	2020	0.595250779619329	43.5307264150634	0	-0.063	0.101	0.666666666666667	-0.666666666666667
"505"	"control"	"Fr_Cb_Sp"	3	2020	0.0684826333935511	37.8589431049584	0	-0.018	0.009	0.333333333333333	-0.333333333333333
"506"	"control"	"Fr_Cb_Pg"	3	2020	0.019920737600603	26.8195123125545	0	0.01	0.001	0.333333333333333	-0.333333333333333
"507"	"control"	"Fr_Cb_Ra"	3	2020	0.581353141644089	62.6719128439995	0	0.008	0	0.333333333333333	-0.333333333333333
"508"	"control"	"Fr_Cb_Pm"	3	2020	0.0802346847654162	22.629517297653	0	0.033	0	0.333333333333333	-0.333333333333333
"509"	"control"	"Fr_Cb_Ga"	3	2020	0.343178555711011	50.8248977726402	0	-0.077	0.014	0.333333333333333	-0.333333333333333
"510"	"control"	"Fr_To_Dc"	3	2020	0.395777565762369	9.52845946739779	1	-0.01	0.286	1	0
"511"	"control"	"Fr_To_Sp"	3	2020	0.0624089077678009	1.8662173397018	1	0.057	0.004	0.666666666666667	0.333333333333333
"512"	"control"	"Fr_To_Pg"	3	2020	0.00347913464204445	8.887981367086	0	0.001	0.001	0.333333333333333	-0.333333333333333
"513"	"control"	"Fr_To_Ra"	3	2020	0.944449412757481	37.7392387251998	0	0.371	0	0.666666666666667	-0.666666666666667
"514"	"control"	"Fr_To_Pm"	3	2020	0.138982724519455	6.60249564213694	1	-0.058	0.144	1	0
"515"	"control"	"Fr_To_Ga"	3	2020	0.106643057075814	14.0893071262052	1	0.035	0.016	0.666666666666667	0.333333333333333
"516"	"control"	"Fr_Dc_Sp"	3	2020	0.203502482059771	18.4366548901614	0	0.125	0.047	0.666666666666667	-0.666666666666667
"517"	"control"	"Fr_Dc_Pg"	3	2020	0.274515058766683	23.079710113704	0	-0.033	0.046	0.666666666666667	-0.666666666666667
"518"	"control"	"Fr_Dc_Ra"	3	2020	1.5390097468394	24.9566021447095	1	0.558	0.09	0.666666666666667	0.333333333333333
"519"	"control"	"Fr_Dc_Pm"	3	2020	0.332451050291558	16.8057620838661	0	-0.002	0.187	1	-1
"520"	"control"	"Fr_Dc_Ga"	3	2020	0.479555760474595	23.3595946283302	1	0.41	0	0.666666666666667	0.333333333333333
"521"	"control"	"Fr_Sp_Pg"	3	2020	0.0204336395584048	10.9796000623923	0	-0.006	0.016	0.333333333333333	-0.333333333333333
"522"	"control"	"Fr_Sp_Ra"	3	2020	0.266654275198639	38.3764359608931	1	0.104	0	0.666666666666667	0.333333333333333
"523"	"control"	"Fr_Sp_Pm"	3	2020	0.0321659752995861	1.41653260844332	1	0.029	0.002	0.666666666666667	0.333333333333333
"524"	"control"	"Fr_Sp_Ga"	3	2020	0.121007565996325	20.2247852318458	0	-0.00900000000000001	0.065	0.666666666666667	-0.666666666666667
"525"	"control"	"Fr_Pg_Ra"	3	2020	0.0992241144493072	34.1252094399504	0	0.006	0.02	0.333333333333333	-0.333333333333333
"526"	"control"	"Fr_Pg_Pm"	3	2020	0.00232514194063842	10.0454901083597	0	-0.016	0	0.333333333333333	-0.333333333333333
"527"	"control"	"Fr_Pg_Ga"	3	2020	0.130885029075667	30.5665730161535	0	0.016	0.01	0.333333333333333	-0.333333333333333
"528"	"control"	"Fr_Ra_Pm"	3	2020	0.909632656694532	37.028480741839	1	0.319	0.046	0.666666666666667	0.333333333333333
"529"	"control"	"Fr_Ra_Ga"	3	2020	0.0160022998926356	11.2452485788669	0	-0.426	0	1	-1
"530"	"control"	"Fr_Pm_Ga"	3	2020	0.144822101729844	5.49539032557942	1	-0.029	0.057	0.666666666666667	0.333333333333333
"531"	"control"	"Hl_Lp_Pt"	3	2020	0.21210030137587	25.6769273910714	0	-0.037	0.083	0.666666666666667	-0.666666666666667
"532"	"control"	"Hl_Lp_Am"	3	2020	0.0450346043532113	16.418395380224	0	-0.022	0.028	0.666666666666667	-0.666666666666667
"533"	"control"	"Hl_Lp_Cj"	3	2020	0.0392201221847992	17.6323061025082	0	-0.009	0.034	0.333333333333333	-0.333333333333333
"534"	"control"	"Hl_Lp_Cb"	3	2020	0.0177344884056345	22.7432918782765	0	0.009	0.001	0	0
"535"	"control"	"Hl_Lp_To"	3	2020	0.0161448702797674	4.61818907597667	1	-0.007	0.004	0.666666666666667	0.333333333333333
"536"	"control"	"Hl_Lp_Dc"	3	2020	0.0699945329579162	34.3591843024074	0	-0.202	0.006	0.666666666666667	-0.666666666666667
"537"	"control"	"Hl_Lp_Sp"	3	2020	0.0356637940732993	6.29922946018539	0	0.031	0.002	0.333333333333333	-0.333333333333333
"538"	"control"	"Hl_Lp_Pg"	3	2020	0.00180152599371952	13.6874284381112	0	0	0	0	0
"539"	"control"	"Hl_Lp_Ra"	3	2020	0.538813007912641	45.5909730662487	0	0.048	0.003	0	0
"540"	"control"	"Hl_Lp_Pm"	3	2020	0.0478539334931836	18.9954496043941	0	-0.026	0.053	0.333333333333333	-0.333333333333333
"541"	"control"	"Hl_Lp_Ga"	3	2020	0.0304579865701248	22.6561847983987	0	-0.014	0.017	0	0
"542"	"control"	"Hl_Pt_Am"	3	2020	0.062598469894792	17.8185936827337	0	0.019	0.015	0.666666666666667	-0.666666666666667
"543"	"control"	"Hl_Pt_Cj"	3	2020	0.133087528215211	10.2675782588529	1	0.00599999999999998	0.109	0.666666666666667	0.333333333333333
"544"	"control"	"Hl_Pt_Cb"	3	2020	0.0907205326036487	18.8020036381062	0	-0.025	0.032	0.333333333333333	-0.333333333333333
"545"	"control"	"Hl_Pt_To"	3	2020	0.108309383544041	1.55099888384803	1	-0.03	0.086	1	0
"546"	"control"	"Hl_Pt_Dc"	3	2020	0.609597919314227	8.61853374028354	1	-0.036	0.498	1	0
"547"	"control"	"Hl_Pt_Sp"	3	2020	0.150996174029986	13.5031912498692	0	-0.053	0.066	1	-1
"548"	"control"	"Hl_Pt_Pg"	3	2020	0.000414880344274354	17.8328798112768	0	-0.008	0	0.666666666666667	-0.666666666666667
"549"	"control"	"Hl_Pt_Ra"	3	2020	2.67373637902356	34.6151989040826	0	0.385	0	0.333333333333333	-0.333333333333333
"550"	"control"	"Hl_Pt_Pm"	3	2020	0.147696799812911	11.1088853798853	0	-0.031	0.137	0.666666666666667	-0.666666666666667
"551"	"control"	"Hl_Pt_Ga"	3	2020	0.164695067458613	8.18676710926093	1	0.055	0.028	0.666666666666667	0.333333333333333
"552"	"control"	"Hl_Am_Cj"	3	2020	0.0428003539571744	14.4857383681486	0	-0.016	0.029	0.666666666666667	-0.666666666666667
"553"	"control"	"Hl_Am_Cb"	3	2020	0.0154325947255583	12.9140995914671	0	0.018	0.001	0.333333333333333	-0.333333333333333
"554"	"control"	"Hl_Am_To"	3	2020	0.048756030856235	5.63899181767747	1	-0.024	0.056	1	0
"555"	"control"	"Hl_Am_Dc"	3	2020	0.133325788148234	3.18732235141305	1	-0.024	0.102	1	0
"556"	"control"	"Hl_Am_Sp"	3	2020	0.0250047908332523	10.6757930007651	0	0.023	0.001	0.666666666666667	-0.666666666666667
"557"	"control"	"Hl_Am_Pg"	3	2020	0.000938894949607111	9.46600340795882	0	0	0.001	0.333333333333333	-0.333333333333333
"558"	"control"	"Hl_Am_Ra"	3	2020	0.0728046219107044	34.5990299947331	0	0.004	0.004	0.333333333333333	-0.333333333333333
"559"	"control"	"Hl_Am_Pm"	3	2020	0.0222941041648809	12.1399979013761	0	-0.011	0.022	0.333333333333333	-0.333333333333333
"560"	"control"	"Hl_Am_Ga"	3	2020	0.0258782935168319	22.9136241022182	0	0.008	0.006	0.333333333333333	-0.333333333333333
"561"	"control"	"Hl_Cj_Cb"	3	2020	0.00213930656262556	19.9666661922947	0	0.004	0	0	0
"562"	"control"	"Hl_Cj_To"	3	2020	0.0225902851796897	7.85587165904921	1	0.021	0.001	0.333333333333333	0.666666666666667
"563"	"control"	"Hl_Cj_Dc"	3	2020	0.220966631596547	9.43974521647156	1	0.058	0.13	0.666666666666667	0.333333333333333
"564"	"control"	"Hl_Cj_Sp"	3	2020	0.00562200664306083	5.20226193435137	0	0.002	0	0.333333333333333	-0.333333333333333
"565"	"control"	"Hl_Cj_Pg"	3	2020	0.0349187693733102	13.8543628100576	0	0.034	0	0	0
"566"	"control"	"Hl_Cj_Ra"	3	2020	0.651388221329542	27.5286256087339	0	0.039	0.014	0	0
"567"	"control"	"Hl_Cj_Pm"	3	2020	0.00392539761808409	13.6640912867926	0	-0.002	0.001	0	0
"568"	"control"	"Hl_Cj_Ga"	3	2020	0.0452774662196667	21.3642894954541	0	-0.002	0.022	0	0
"569"	"control"	"Hl_Cb_To"	3	2020	0.0286254255964736	11.2754567197439	0	-0.022	0.003	0.666666666666667	-0.666666666666667
"570"	"control"	"Hl_Cb_Dc"	3	2020	0.138862942448924	16.6730907144168	0	-0.004	0.064	0.666666666666667	-0.666666666666667
"571"	"control"	"Hl_Cb_Sp"	3	2020	0.0318648416755318	24.6155822438288	0	0.004	0.002	0.333333333333333	-0.333333333333333
"572"	"control"	"Hl_Cb_Pg"	3	2020	2.74789066765173e-06	17.0308969992412	0	-0.002	0	0.333333333333333	-0.333333333333333
"573"	"control"	"Hl_Cb_Ra"	3	2020	0.342883625505528	50.6059138237522	0	0.026	0	0	0
"574"	"control"	"Hl_Cb_Pm"	3	2020	0.0322510559063983	21.0804549770513	0	0.005	0.003	0	0
"575"	"control"	"Hl_Cb_Ga"	3	2020	0.00252857424318862	31.3729459295752	0	-0.001	0	0	0
"576"	"control"	"Hl_To_Dc"	3	2020	0.244294402528686	3.8796351744577	1	0.017	0.154	1	0
"577"	"control"	"Hl_To_Sp"	3	2020	0.0188957427832392	8.29923602466435	0	0.01	0.001	0.666666666666667	-0.666666666666667
"578"	"control"	"Hl_To_Pg"	3	2020	0.0186654034250605	12.2230310658084	0	0.013	0.001	0.333333333333333	-0.333333333333333
"579"	"control"	"Hl_To_Ra"	3	2020	1.71308707168686	39.8538856401842	0	0.046	0	0.333333333333333	-0.333333333333333
"580"	"control"	"Hl_To_Pm"	3	2020	0.0646243352017445	11.9991443435976	0	-0.02	0.064	0.666666666666667	-0.666666666666667
"581"	"control"	"Hl_To_Ga"	3	2020	0.0433273465143139	22.9720997158679	0	0.001	0.007	0.333333333333333	-0.333333333333333
"582"	"control"	"Hl_Dc_Sp"	3	2020	0.110297712783612	10.206850167891	0	0.048	0.048	0.666666666666667	-0.666666666666667
"583"	"control"	"Hl_Dc_Pg"	3	2020	0.0693841993215646	21.7579082832095	0	0.011	0	0.666666666666667	-0.666666666666667
"584"	"control"	"Hl_Dc_Ra"	3	2020	2.97068990654568	47.4710378665643	0	0.147	0.06	0.333333333333333	-0.333333333333333
"585"	"control"	"Hl_Dc_Pm"	3	2020	0.196436604334168	7.16939649901898	1	0.122	0.048	0.666666666666667	0.333333333333333
"586"	"control"	"Hl_Dc_Ga"	3	2020	0.103253537217234	24.0126147505352	0	0.08	0	0.333333333333333	-0.333333333333333
"587"	"control"	"Hl_Sp_Pg"	3	2020	0.0208302384789297	7.25699032133665	0	0.016	0.001	0.333333333333333	-0.333333333333333
"588"	"control"	"Hl_Sp_Ra"	3	2020	1.60944564852577	32.3459156842826	0	0.039	0.008	0.333333333333333	-0.333333333333333
"589"	"control"	"Hl_Sp_Pm"	3	2020	0.0404823065984464	7.44946359871236	0	0.044	0	0.333333333333333	-0.333333333333333
"590"	"control"	"Hl_Sp_Ga"	3	2020	0.0107560639473858	17.5453480117052	0	-0.043	0.001	0.333333333333333	-0.333333333333333
"591"	"control"	"Hl_Pg_Ra"	3	2020	0.0250551772298078	29.8437866534369	0	0.001	0	0	0
"592"	"control"	"Hl_Pg_Pm"	3	2020	0.027943906323585	15.9499975563877	0	0.034	0	0	0
"593"	"control"	"Hl_Pg_Ga"	3	2020	0.0126271471983526	24.8506952678139	0	0.006	0	0	0
"594"	"control"	"Hl_Ra_Pm"	3	2020	0.895409664812258	40.1010360017772	0	0.062	0.016	0	0
"595"	"control"	"Hl_Ra_Ga"	3	2020	0.212623180958492	13.1289984990269	0	0.099	0	0.333333333333333	-0.333333333333333
"596"	"control"	"Hl_Pm_Ga"	3	2020	0.0285525328537609	25.3070746604156	0	-0.011	0.008	0	0
"597"	"control"	"Lp_Pt_Am"	3	2020	0.253615102261492	19.494482745106	1	0.173	0.045	0.666666666666667	0.333333333333333
"598"	"control"	"Lp_Pt_Cj"	3	2020	0.14841417129726	19.7105719462049	1	0.003	0.057	1	0
"599"	"control"	"Lp_Pt_Cb"	3	2020	0.183123164137174	29.6290703452488	0	0.015	0.034	0.333333333333333	-0.333333333333333
"600"	"control"	"Lp_Pt_To"	3	2020	0.0295602838433982	15.1799762429019	0	-0.007	0.001	1	-1
"601"	"control"	"Lp_Pt_Dc"	3	2020	0.911626462017505	57.8079592249779	0	-0.297	0.264	1	-1
"602"	"control"	"Lp_Pt_Sp"	3	2020	0.0353883383917198	14.2169849142161	0	0.004	0.006	0.666666666666667	-0.666666666666667
"603"	"control"	"Lp_Pt_Pg"	3	2020	0.143523106140535	5.94921637959127	0	0.126	0	0.666666666666667	-0.666666666666667
"604"	"control"	"Lp_Pt_Ra"	3	2020	1.86533346768887	61.4197562036854	0	0.268	0	0.333333333333333	-0.333333333333333
"605"	"control"	"Lp_Pt_Pm"	3	2020	0.336133776710044	19.5226194946642	1	0.039	0.155	1	0
"606"	"control"	"Lp_Pt_Ga"	3	2020	0.238106674949063	19.6246304908006	0	0.064	0.054	0.666666666666667	-0.666666666666667
"607"	"control"	"Lp_Am_Cj"	3	2020	0.0614413770538009	5.05597726368767	0	-0.016	0.033	1	-1
"608"	"control"	"Lp_Am_Cb"	3	2020	0.00621897373504621	23.2929463381075	0	-0.008	0	0.333333333333333	-0.333333333333333
"609"	"control"	"Lp_Am_To"	3	2020	0.0576653071619871	5.02353062811627	1	0.021	0.012	1	0
"610"	"control"	"Lp_Am_Dc"	3	2020	0.500833547513779	23.3093619396328	1	-0.188	0.197	1	0
"611"	"control"	"Lp_Am_Sp"	3	2020	0.00486808089677944	9.13529038189193	0	-0.004	0.001	0.333333333333333	-0.333333333333333
"612"	"control"	"Lp_Am_Pg"	3	2020	0.0245529283154238	7.89552075831785	0	0.023	0	0.333333333333333	-0.333333333333333
"613"	"control"	"Lp_Am_Ra"	3	2020	0.563394735428759	42.3313180103524	0	0.054	0.035	0.333333333333333	-0.333333333333333
"614"	"control"	"Lp_Am_Pm"	3	2020	0.0587060087369221	5.78869747534507	1	-0.008	0.033	0.666666666666667	0.333333333333333
"615"	"control"	"Lp_Am_Ga"	3	2020	0.197760229946195	17.9328990784972	0	0.103	0.037	0.333333333333333	-0.333333333333333
"616"	"control"	"Lp_Cj_Cb"	3	2020	0.0161381297478933	26.063863752115	0	-0.017	0.002	0.333333333333333	-0.333333333333333
"617"	"control"	"Lp_Cj_To"	3	2020	0.0156327859165314	2.09491526406791	1	0.016	0	0.666666666666667	0.333333333333333
"618"	"control"	"Lp_Cj_Dc"	3	2020	0.103976824960141	27.2337901308532	0	-0.165	0.012	1	-1
"619"	"control"	"Lp_Cj_Sp"	3	2020	2.14965027651182e-09	6.16143414910727	0	-0.002	0	0.333333333333333	-0.333333333333333
"620"	"control"	"Lp_Cj_Pg"	3	2020	0.0134156505345659	15.4008376837459	0	0.017	0	0.333333333333333	-0.333333333333333
"621"	"control"	"Lp_Cj_Ra"	3	2020	0.240979554731267	43.1463203376033	0	0.025	0.012	0.333333333333333	-0.333333333333333
"622"	"control"	"Lp_Cj_Pm"	3	2020	0.0110491322961386	9.20720500101938	0	-0.002	0.001	0.666666666666667	-0.666666666666667
"623"	"control"	"Lp_Cj_Ga"	3	2020	0.0496232753482735	15.7954308744838	0	-0.019	0.034	0.333333333333333	-0.333333333333333
"624"	"control"	"Lp_Cb_To"	3	2020	0.023749749511738	12.9324979124185	0	0.025	0	0.666666666666667	-0.666666666666667
"625"	"control"	"Lp_Cb_Dc"	3	2020	0.919266841636816	41.2621317979065	0	0.179	0.134	0.666666666666667	-0.666666666666667
"626"	"control"	"Lp_Cb_Sp"	3	2020	0.0199718061738031	35.4361002386592	0	-0.009	0	0	0
"627"	"control"	"Lp_Cb_Pg"	3	2020	0.00688794721683895	24.0989671144004	0	0.006	0	0.333333333333333	-0.333333333333333
"628"	"control"	"Lp_Cb_Ra"	3	2020	0.987908942207898	72.7304432183627	0	0	0	0	0
"629"	"control"	"Lp_Cb_Pm"	3	2020	0.0660449576439758	16.1758637841348	0	0.055	0	0.333333333333333	-0.333333333333333
"630"	"control"	"Lp_Cb_Ga"	3	2020	0.0774564940708212	41.517296927151	0	-0.021	0.014	0	0
"631"	"control"	"Lp_To_Dc"	3	2020	0.151554034378838	23.7416176884057	0	0.026	0.004	1	-1
"632"	"control"	"Lp_To_Sp"	3	2020	0.00387337004563301	10.9294674692462	0	0	0.003	0.333333333333333	-0.333333333333333
